0,2839
1,3138
2,3236
3,3279
4,3318
5,3332
6,3171
7,3218
8,3187
9,3162
10,3134
11,3128
12,3060
13,3152
14,3068
15,2926
16,2882
17,2762
18,2484
19,2419
20,2390
21,2386
22,2573
23,2789
24,2783
25,2783
26,2714
27,2758
28,3013
29,3050
30,3203
31,3351
32,3188
33,3340
34,3489
35,3450
36,3353
37,3278
38,3277
39,3144
40,3114
41,3134
42,2995
43,2889
44,2786
45,2847
46,2816
47,2795
48,2410
49,2142
50,2214
51,2215
52,2115
53,1900
54,1745
55,1730
56,1710
57,1622
58,1600
59,1580
60,1560
61,1497
62,1531
63,1501
64,1579
65,1550
66,1443
67,1496
68,1436
69,1412
70,1410
71,1418
72,1315
73,1354
74,1227
75,1065
76,1050
77,979
78,876
79,811
80,799
81,720
82,615
83,561
84,519
85,423
86,348
87,301
88,241
89,195
90,725
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
